"Step","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MAX"
"3170","1376.9772","1376.9772","1376.9772","1769.8022","1769.8022","1769.8022"
"3183","1368.6887","1368.6887","1368.6887","1738.7039","1738.7039","1738.7039"
"3196","1378.1661","1378.1661","1378.1661","1778.3038","1778.3038","1778.3038"
"3209","1392.576","1392.576","1392.576","1787.2671","1787.2671","1787.2671"
"3222","1400.3169","1400.3169","1400.3169","1795.8763","1795.8763","1795.8763"
"3235","1409.4458","1409.4458","1409.4458","1773.5153","1773.5153","1773.5153"
"3248","1414.491","1414.491","1414.491","1846.9747","1846.9747","1846.9747"
"3261","1435.8688","1435.8688","1435.8688","1832.4255","1832.4255","1832.4255"
"3274","1418.2623","1418.2623","1418.2623","1809.721","1809.721","1809.721"
"3287","1416.298","1416.298","1416.298","1799.2588","1799.2588","1799.2588"
"3300","1450.6937","1450.6937","1450.6937","1818.98","1818.98","1818.98"
"3313","1440.5442","1440.5442","1440.5442","1834.2659","1834.2659","1834.2659"
"3326","1442.323","1442.323","1442.323","1885.9594","1885.9594","1885.9594"
"3339","1441.9495","1441.9495","1441.9495","1854.667","1854.667","1854.667"
"3352","1437.3165","1437.3165","1437.3165","1944.7777","1944.7777","1944.7777"
"3365","1441.676","1441.676","1441.676","1849.3639","1849.3639","1849.3639"
"3378","1451.2449","1451.2449","1451.2449","1887.8369","1887.8369","1887.8369"
"3391","1448.3794","1448.3794","1448.3794","1919.7883","1919.7883","1919.7883"
"3404","1460.9506","1460.9506","1460.9506","1940.7782","1940.7782","1940.7782"
"3417","1447.9894","1447.9894","1447.9894","1920.4286","1920.4286","1920.4286"
"3430","1473.9128","1473.9128","1473.9128","1996.7333","1996.7333","1996.7333"
"3443","1449.072","1449.072","1449.072","1957.6458","1957.6458","1957.6458"
"3456","1443.5376","1443.5376","1443.5376","1986.8297","1986.8297","1986.8297"
"3469","1475.0166","1475.0166","1475.0166","1934.744","1934.744","1934.744"
"3482","1492.0527","1492.0527","1492.0527","1954.8787","1954.8787","1954.8787"
"3495","1481.8082","1481.8082","1481.8082","2093.267","2093.267","2093.267"
"3508","1507.7367","1507.7367","1507.7367","1982.0221","1982.0221","1982.0221"
"3521","1477.5769","1477.5769","1477.5769","2008.1475","2008.1475","2008.1475"
"3534","1494.6797","1494.6797","1494.6797","1932.3881","1932.3881","1932.3881"
"3547","1510.7231","1510.7231","1510.7231","2115.062","2115.062","2115.062"
"3560","1495.429","1495.429","1495.429","2044.6925","2044.6925","2044.6925"
"3573","1511.3309","1511.3309","1511.3309","2095.8486","2095.8486","2095.8486"
"3586","1516.2863","1516.2863","1516.2863","2100.5837","2100.5837","2100.5837"
"3599","1497.2867","1497.2867","1497.2867","2138.491","2138.491","2138.491"
"3612","1504.8934","1504.8934","1504.8934","2141.585","2141.585","2141.585"
"3625","1512.2012","1512.2012","1512.2012","2125.4734","2125.4734","2125.4734"
"3638","1523.7533","1523.7533","1523.7533","2134.2715","2134.2715","2134.2715"
"3651","1515.7708","1515.7708","1515.7708","2194.011","2194.011","2194.011"
"3664","1540.3866","1540.3866","1540.3866","2408.0938","2408.0938","2408.0938"
"3677","1534.4249","1534.4249","1534.4249","2151.127","2151.127","2151.127"
"3690","1546.8372","1546.8372","1546.8372","2157.7131","2157.7131","2157.7131"
"3703","1529.4657","1529.4657","1529.4657","2194.3137","2194.3137","2194.3137"
"3716","1519.3136","1519.3136","1519.3136","2369.0464","2369.0464","2369.0464"
"3729","1541.006","1541.006","1541.006","2468.3716","2468.3716","2468.3716"
"3742","1537.3578","1537.3578","1537.3578","2363.8787","2363.8787","2363.8787"
"3755","1574.173","1574.173","1574.173","2412.5417","2412.5417","2412.5417"
"3768","1558.7446","1558.7446","1558.7446","2297.353","2297.353","2297.353"
"3781","1564.3777","1564.3777","1564.3777","2223.325","2223.325","2223.325"
"3794","1587.5773","1587.5773","1587.5773","2263.1074","2263.1074","2263.1074"
"3807","1584.2206","1584.2206","1584.2206","2383.2837","2383.2837","2383.2837"
"3820","1569.9606","1569.9606","1569.9606","2494.524","2494.524","2494.524"
"3833","1577.8846","1577.8846","1577.8846","2391.1255","2391.1255","2391.1255"
"3846","1580.5754","1580.5754","1580.5754","2456.501","2456.501","2456.501"
"3859","1590.5486","1590.5486","1590.5486","2592.9185","2592.9185","2592.9185"
"3872","1608.0774","1608.0774","1608.0774","2453.6926","2453.6926","2453.6926"
"3885","1578.1938","1578.1938","1578.1938","2448.508","2448.508","2448.508"
"3898","1571.6278","1571.6278","1571.6278","2510.3179","2510.3179","2510.3179"
"3911","1586.4037","1586.4037","1586.4037","2745.0122","2745.0122","2745.0122"
"3924","1604.7649","1604.7649","1604.7649","2652.3801","2652.3801","2652.3801"
"3937","1595.7076","1595.7076","1595.7076","2552.2393","2552.2393","2552.2393"
"3950","1632.313","1632.313","1632.313","2974.0706","2974.0706","2974.0706"
"3963","1630.1593","1630.1593","1630.1593","2904.9575","2904.9575","2904.9575"
"3976","1594.1792","1594.1792","1594.1792","2702.517","2702.517","2702.517"
"3989","1651.0378","1651.0378","1651.0378","2717.465","2717.465","2717.465"
"4002","1612.351","1612.351","1612.351","2842.2913","2842.2913","2842.2913"
"4015","1620.5874","1620.5874","1620.5874","2477.4812","2477.4812","2477.4812"
"4028","1639.0344","1639.0344","1639.0344","2860.1157","2860.1157","2860.1157"
"4041","1628.1074","1628.1074","1628.1074","2960.5134","2960.5134","2960.5134"
"4054","1644.1807","1644.1807","1644.1807","2984.3706","2984.3706","2984.3706"
"4067","1638.7601","1638.7601","1638.7601","2912.2324","2912.2324","2912.2324"
"4080","1656.3163","1656.3163","1656.3163","3195.334","3195.334","3195.334"
"4093","1655.9255","1655.9255","1655.9255","3092.8572","3092.8572","3092.8572"
"4106","1616.2233","1616.2233","1616.2233","3609.8303","3609.8303","3609.8303"
"4119","1669.4087","1669.4087","1669.4087","3295.0005","3295.0005","3295.0005"
"4132","1632.652","1632.652","1632.652","3089.4414","3089.4414","3089.4414"
"4145","1673.9429","1673.9429","1673.9429","3530.3694","3530.3694","3530.3694"
"4158","1660.7014","1660.7014","1660.7014","3225.84","3225.84","3225.84"
"4171","1663.5823","1663.5823","1663.5823","3540.9883","3540.9883","3540.9883"
"4184","1653.027","1653.027","1653.027","3362.432","3362.432","3362.432"
"4197","1692.0549","1692.0549","1692.0549","3043.9858","3043.9858","3043.9858"
"4210","1669.9208","1669.9208","1669.9208","3113.2993","3113.2993","3113.2993"
"4223","1643.1843","1643.1843","1643.1843","3339.8855","3339.8855","3339.8855"
"4236","1688.0468","1688.0468","1688.0468","3521.0056","3521.0056","3521.0056"
"4249","1664.0479","1664.0479","1664.0479","3880.5867","3880.5867","3880.5867"
"4262","1697.4552","1697.4552","1697.4552","3416.8704","3416.8704","3416.8704"
"4275","1666.7554","1666.7554","1666.7554","3895.1895","3895.1895","3895.1895"
"4288","1730.1558","1730.1558","1730.1558","3716.2852","3716.2852","3716.2852"
"4301","1715.4674","1715.4674","1715.4674","3807.0093","3807.0093","3807.0093"
"4314","1691.9674","1691.9674","1691.9674","3734.3267","3734.3267","3734.3267"
"4327","1695.2124","1695.2124","1695.2124","4151.0234","4151.0234","4151.0234"
"4340","1709.6575","1709.6575","1709.6575","4370.348","4370.348","4370.348"
"4353","1738.0658","1738.0658","1738.0658","3910.8877","3910.8877","3910.8877"
"4366","1756.5","1756.5","1756.5","3865.2253","3865.2253","3865.2253"
"4379","1719.5825","1719.5825","1719.5825","4579.115","4579.115","4579.115"
"4392","1696.327","1696.327","1696.327","4491.1255","4491.1255","4491.1255"
"4405","1738.6353","1738.6353","1738.6353","4178.7314","4178.7314","4178.7314"
"4418","1743.1842","1743.1842","1743.1842","4059.4612","4059.4612","4059.4612"
"4431","1737.7548","1737.7548","1737.7548","4476.6514","4476.6514","4476.6514"
"4444","1745.7384","1745.7384","1745.7384","4421.3164","4421.3164","4421.3164"
